time	V(ch1)	V(ch2)	V(n001)	V(n003)
Step Information: Rl=10  (Step: 1/46)
1.649724210297028e-02	-8.373857e+00	7.020907e+00	-6.764747e-01	7.697382e+00
1.655583585297028e-02	-8.521043e+00	7.166074e+00	-6.774846e-01	7.843558e+00
1.661442960297028e-02	-8.657236e+00	7.300431e+00	-6.784027e-01	7.978834e+00
1.667302335297028e-02	-8.782254e+00	7.423790e+00	-6.792321e-01	8.103022e+00
1.673161710297028e-02	-8.895920e+00	7.535969e+00	-6.799755e-01	8.215944e+00
1.679021085297027e-02	-8.998083e+00	7.636812e+00	-6.806352e-01	8.317448e+00
1.684880460297027e-02	-9.088596e+00	7.726171e+00	-6.812130e-01	8.407384e+00
1.690739835297027e-02	-9.167341e+00	7.803919e+00	-6.817110e-01	8.485630e+00
1.696599210297027e-02	-9.234202e+00	7.869942e+00	-6.821302e-01	8.552072e+00
1.702458585297027e-02	-9.289091e+00	7.924147e+00	-6.824722e-01	8.606619e+00
1.708317960297027e-02	-9.331927e+00	7.966452e+00	-6.827374e-01	8.649190e+00
1.714177335297027e-02	-9.362653e+00	7.996799e+00	-6.829270e-01	8.679727e+00
1.720036710297027e-02	-9.381221e+00	8.015139e+00	-6.830412e-01	8.698179e+00
1.725896085297026e-02	-9.387607e+00	8.021445e+00	-6.830806e-01	8.704526e+00
1.731755460297026e-02	-9.381795e+00	8.015705e+00	-6.830448e-01	8.698750e+00
1.737614835297026e-02	-9.363794e+00	7.997926e+00	-6.829342e-01	8.680861e+00
1.743474210297026e-02	-9.333623e+00	7.968127e+00	-6.827480e-01	8.650875e+00
1.749333585297026e-02	-9.291323e+00	7.926350e+00	-6.824862e-01	8.608836e+00
1.755192960297026e-02	-9.236943e+00	7.872648e+00	-6.821476e-01	8.554796e+00
1.761052335297026e-02	-9.170561e+00	7.807097e+00	-6.817315e-01	8.488829e+00
1.766911710297026e-02	-9.092257e+00	7.729784e+00	-6.812366e-01	8.411020e+00
1.772771085297025e-02	-9.002138e+00	7.640816e+00	-6.806616e-01	8.321477e+00
1.778630460297025e-02	-8.900322e+00	7.540313e+00	-6.800044e-01	8.220317e+00
1.784489835297025e-02	-8.786944e+00	7.428418e+00	-6.792635e-01	8.107681e+00
1.790349210297025e-02	-8.662153e+00	7.305281e+00	-6.784360e-01	7.983717e+00
